File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0069_2.fastq.gz.filter_k20_s8_4	1897473	36559	0.0192672
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0211_2.fastq.gz.filter_k20_s8_4	4455561	40802	0.00915754
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271125_1.fastq.gz.filter_k20_s8_4	2586688	13567	0.00524493
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0759_2.fastq.gz.filter_k20_s8_4	2069770	5454	0.00263508
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0057_1.fastq.gz.filter_k20_s8_4	4703423	2500112	0.531552
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0651_2.fastq.gz.filter_k20_s8_4	2169668	3806	0.00175419
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0061_2.fastq.gz.filter_k20_s8_4	1935950	144082	0.0744244
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0342_2.fastq.gz.filter_k20_s8_4	4417340	1747678	0.39564
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0744_1.fastq.gz.filter_k20_s8_4	2223613	35275	0.0158638
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0246_2.fastq.gz.filter_k20_s8_4	4198144	58247	0.0138745
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271095_1.fastq.gz.filter_k20_s8_4	2615284	14210	0.00543344
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0661_1.fastq.gz.filter_k20_s8_4	5046126	136166	0.0269843
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0040_1.fastq.gz.filter_k20_s8_4	2087504	483966	0.23184
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0370_1.fastq.gz.filter_k20_s8_4	4883684	43402	0.00888714
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0475_2.fastq.gz.filter_k20_s8_4	1967302	3598	0.0018289
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17DB4959/H3MGVCCXY/4959-DB-0090.R1.fastq.gz.filter_k20_s8_4	4725083	5655	0.0011968
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0455_2.fastq.gz.filter_k20_s8_4	1978831	15621	0.00789405
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0003_1.fastq.gz.filter_k20_s8_4	2104568	322747	0.153355
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0226_2.fastq.gz.filter_k20_s8_4	4133784	78250	0.0189294
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271173_2.fastq.gz.filter_k20_s8_4	2261304	14183	0.00627204
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271127_1.fastq.gz.filter_k20_s8_4	2519998	11630	0.00461508
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCV72CCXY/5106-CEM-0121_2.fastq.gz.filter_k20_s8_4	4221390	1836804	0.435118
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0444_1.fastq.gz.filter_k20_s8_4	2152844	30796	0.0143048
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL270936_2.fastq.gz.filter_k20_s8_4	4208320	1969218	0.467934
